1.205E-03 -3.854E-03;3.106E-03 -2.548E-04;3.735E-03 2.683E-03;1.506E-03 2.147E-03;-2.555E-03 7.122E-05;-4.168E-03 -6.603E-04;-1.455E-03 -7.536E-04;1.430E-03 -1.878E-03;1.279E-04 -2.241E-03;-2.984E-03 6.714E-04;-2.373E-03 4.790E-03;2.004E-03 5.815E-03;4.972E-03 3.905E-03;4.198E-03 3.097E-03;2.527E-03 4.409E-03;2.122E-03 4.491E-03;1.576E-03 1.604E-03;1.667E-05 -1.618E-03;-5.592E-04 -2.467E-03;1.020E-03 -1.394E-03;2.568E-03 1.984E-04;1.757E-03 1.954E-03;-6.030E-04 3.103E-03;-2.067E-03 2.083E-03;-1.502E-03 -8.388E-04;4.895E-04 -2.903E-03;2.424E-03 -2.156E-03;2.625E-03 2.472E-04;6.199E-04 1.738E-03;-1.901E-03 7.651E-04;-2.931E-03 -2.636E-03;-2.685E-03 -6.804E-03;-2.628E-03 -8.801E-03;-2.700E-03 -6.754E-03;-1.828E-03 -2.207E-03;-6.854E-04 1.386E-03;-1.176E-03 2.416E-03;-3.106E-03 1.854E-03;-3.992E-03 8.301E-04;-2.558E-03 -3.117E-04;-1.544E-04 -8.512E-04;1.659E-03 5.724E-06;2.747E-03 1.476E-03;3.192E-03 1.855E-03;2.586E-03 8.925E-04;1.197E-03 -3.475E-04;8.746E-05 -1.735E-03;-4.597E-04 -3.891E-03;-1.112E-03 -5.806E-03;-1.806E-03 -5.248E-03;-1.565E-03 -2.190E-03;-3.901E-04 4.854E-04;3.245E-04 6.500E-04;-1.687E-04 -5.647E-04;-9.066E-04 -9.903E-04;-7.624E-04 -4.594E-04;1.213E-04 -2.593E-04;9.477E-04 -7.059E-04;1.255E-03 -8.352E-04;7.949E-04 -2.066E-04;-6.497E-04 2.535E-04;-2.692E-03 -3.489E-04;-4.149E-03 -1.162E-03;-3.946E-03 -5.078E-05
9.365E-04 -4.225E-03;2.409E-03 -9.323E-04;3.575E-03 2.127E-03;2.373E-03 1.609E-03;-1.332E-03 -4.958E-04;-3.590E-03 -8.072E-04;-1.661E-03 -5.115E-05;1.145E-03 -7.053E-04;2.146E-04 -1.704E-03;-2.980E-03 -2.320E-04;-3.142E-03 2.779E-03;5.999E-04 3.798E-03;3.835E-03 2.586E-03;3.812E-03 2.245E-03;2.321E-03 3.566E-03;1.322E-03 3.765E-03;2.421E-04 1.389E-03;-1.268E-03 -1.400E-03;-1.651E-03 -2.284E-03;-1.189E-04 -1.419E-03;1.596E-03 1.431E-04;1.549E-03 1.916E-03;-4.924E-05 3.118E-03;-1.461E-03 2.675E-03;-1.151E-03 8.407E-04;1.117E-03 -8.431E-04;3.662E-03 -1.481E-03;3.897E-03 -1.397E-03;1.306E-03 -1.193E-03;-1.506E-03 -1.704E-03;-2.282E-03 -4.034E-03;-2.163E-03 -7.736E-03;-3.198E-03 -9.863E-03;-4.455E-03 -8.026E-03;-3.592E-03 -3.689E-03;-1.237E-03 -2.974E-04;-4.055E-04 1.012E-03;-1.872E-03 1.503E-03;-3.227E-03 1.646E-03;-2.719E-03 7.524E-04;-1.193E-03 -6.003E-04;1.721E-04 -7.110E-04;1.440E-03 4.790E-04;2.538E-03 1.223E-03;2.524E-03 8.121E-04;1.147E-03 3.310E-04;-4.204E-04 3.224E-04;-1.101E-03 -2.694E-05;-9.457E-04 -8.364E-04;-3.352E-04 -7.547E-04;6.147E-04 8.670E-04;1.533E-03 2.592E-03;1.795E-03 2.647E-03;1.359E-03 1.038E-03;8.379E-04 -7.948E-04;6.773E-04 -1.682E-03;9.049E-04 -1.544E-03;1.431E-03 -9.876E-04;1.826E-03 -5.794E-04;1.185E-03 -4.743E-04;-8.906E-04 -6.502E-04;-3.388E-03 -1.159E-03;-4.737E-03 -1.562E-03;-4.349E-03 -4.326E-04
8.420E-04 -3.472E-03;1.289E-03 -1.326E-03;2.351E-03 1.224E-03;2.288E-03 8.927E-04;-6.155E-05 -8.791E-04;-2.107E-03 -9.235E-04;-1.143E-03 3.571E-04;8.830E-04 4.362E-04;2.991E-04 -5.266E-04;-2.217E-03 -4.055E-04;-2.752E-03 6.444E-04;-3.553E-04 6.582E-04;2.019E-03 -2.029E-04;2.341E-03 4.504E-05;1.496E-03 1.360E-03;4.939E-04 1.575E-03;-8.995E-04 7.309E-05;-2.360E-03 -1.398E-03;-2.617E-03 -1.593E-03;-1.430E-03 -9.241E-04;-4.639E-05 1.210E-04;4.907E-04 1.461E-03;1.398E-04 2.487E-03;-5.599E-04 2.551E-03;-4.980E-04 2.059E-03;1.361E-03 1.544E-03;3.999E-03 4.726E-04;4.530E-03 -1.468E-03;2.011E-03 -3.157E-03;-7.361E-04 -3.883E-03;-1.158E-03 -4.933E-03;-7.774E-04 -7.219E-03;-2.262E-03 -8.822E-03;-4.566E-03 -7.453E-03;-4.457E-03 -4.107E-03;-1.821E-03 -1.608E-03;1.256E-04 -5.592E-04;-3.213E-04 4.691E-04;-1.538E-03 1.560E-03;-1.778E-03 1.308E-03;-1.332E-03 -1.892E-04;-9.025E-04 -1.047E-03;-2.266E-04 -5.252E-04;7.860E-04 1.398E-04;1.250E-03 1.780E-04;5.019E-04 4.633E-04;-8.999E-04 1.718E-03;-1.818E-03 3.266E-03;-1.497E-03 4.220E-03;6.111E-05 4.652E-03;1.995E-03 5.007E-03;3.077E-03 5.163E-03;2.939E-03 4.522E-03;2.421E-03 2.685E-03;2.260E-03 6.564E-05;2.186E-03 -2.022E-03;1.888E-03 -2.377E-03;1.795E-03 -1.302E-03;2.004E-03 -3.563E-04;1.467E-03 -4.689E-04;-5.716E-04 -1.137E-03;-3.089E-03 -1.630E-03;-4.352E-03 -1.710E-03;-3.919E-03 -7.991E-04
9.747E-04 -1.704E-03;2.018E-04 -1.027E-03;5.296E-04 3.054E-04;1.119E-03 9.304E-06;5.069E-04 -1.067E-03;-3.732E-04 -7.804E-04;8.273E-05 5.783E-04;9.352E-04 1.183E-03;3.115E-04 7.979E-04;-1.122E-03 2.598E-04;-1.297E-03 -7.220E-04;-2.216E-04 -2.530E-03;4.578E-04 -3.767E-03;3.471E-04 -3.092E-03;1.648E-04 -1.716E-03;-2.976E-04 -1.578E-03;-1.614E-03 -2.240E-03;-2.971E-03 -1.988E-03;-3.139E-03 -8.297E-04;-2.404E-03 -2.107E-05;-1.722E-03 3.103E-04;-1.073E-03 8.476E-04;-2.348E-04 1.450E-03;2.206E-04 1.793E-03;3.237E-04 2.418E-03;1.373E-03 3.275E-03;3.430E-03 2.686E-03;4.149E-03 -2.031E-04;2.234E-03 -3.439E-03;3.429E-06 -4.826E-03;-3.989E-05 -4.950E-03;7.412E-04 -5.445E-03;-4.875E-04 -5.854E-03;-3.112E-03 -4.795E-03;-3.886E-03 -2.909E-03;-1.905E-03 -1.928E-03;3.902E-04 -1.684E-03;1.026E-03 -7.082E-04;5.315E-04 8.011E-04;4.762E-06 1.155E-03;-5.052E-04 4.707E-05;-1.138E-03 -1.030E-03;-1.464E-03 -1.200E-03;-1.211E-03 -1.043E-03;-7.965E-04 -9.001E-04;-8.183E-04 -2.691E-05;-1.492E-03 2.176E-03;-2.373E-03 5.181E-03;-2.340E-03 7.816E-03;-5.662E-04 9.128E-03;2.104E-03 8.874E-03;3.691E-03 7.598E-03;3.489E-03 5.957E-03;2.817E-03 3.867E-03;2.842E-03 1.053E-03;3.034E-03 -1.580E-03;2.606E-03 -2.418E-03;2.017E-03 -1.366E-03;1.846E-03 -2.474E-04;1.421E-03 -3.862E-04;-8.337E-05 -1.149E-03;-2.030E-03 -1.464E-03;-3.033E-03 -1.290E-03;-2.698E-03 -7.592E-04
1.187E-03 4.677E-04;-5.781E-04 3.868E-05;-1.262E-03 -2.513E-04;-7.438E-04 -9.185E-04;2.871E-05 -1.170E-03;8.386E-04 -3.172E-04;1.584E-03 8.422E-04;1.419E-03 1.460E-03;3.230E-04 1.747E-03;-1.481E-04 1.387E-03;6.368E-04 -9.033E-04;1.025E-03 -4.666E-03;-1.172E-04 -6.973E-03;-1.356E-03 -6.317E-03;-1.288E-03 -4.863E-03;-9.876E-04 -4.802E-03;-1.825E-03 -4.909E-03;-2.938E-03 -3.143E-03;-3.026E-03 -4.122E-04;-2.681E-03 9.503E-04;-2.788E-03 7.268E-04;-2.499E-03 3.372E-04;-9.959E-04 3.505E-04;5.749E-04 7.262E-04;1.044E-03 1.970E-03;1.298E-03 3.785E-03;2.272E-03 4.051E-03;2.767E-03 1.437E-03;1.618E-03 -2.204E-03;2.810E-04 -4.057E-03;6.480E-04 -3.762E-03;1.726E-03 -2.749E-03;1.171E-03 -1.656E-03;-8.705E-04 -4.931E-04;-2.011E-03 -6.520E-05;-1.133E-03 -9.529E-04;5.990E-04 -1.944E-03;1.857E-03 -1.505E-03;2.344E-03 -1.346E-04;2.058E-03 4.725E-04;9.628E-04 -8.218E-05;-5.475E-04 -8.636E-04;-1.840E-03 -1.399E-03;-2.598E-03 -1.896E-03;-2.748E-03 -2.042E-03;-2.409E-03 -9.522E-04;-2.207E-03 1.747E-03;-2.659E-03 5.492E-03;-2.949E-03 9.100E-03;-1.611E-03 1.117E-02;1.130E-03 1.088E-02;3.160E-03 8.890E-03;3.257E-03 6.539E-03;2.564E-03 4.248E-03;2.507E-03 1.612E-03;2.797E-03 -8.517E-04;2.533E-03 -1.741E-03;1.879E-03 -9.503E-04;1.440E-03 -1.485E-04;1.026E-03 -4.148E-04;1.968E-04 -9.271E-04;-7.374E-04 -7.141E-04;-1.148E-03 -1.849E-04;-9.101E-04 -5.355E-05
1.254E-03 2.188E-03;-1.023E-03 1.522E-03;-2.528E-03 -2.274E-04;-2.611E-03 -1.663E-03;-1.277E-03 -1.295E-03;1.037E-03 3.166E-04;2.717E-03 1.295E-03;2.153E-03 1.445E-03;4.444E-04 2.037E-03;4.473E-04 2.362E-03;2.293E-03 -1.165E-04;2.786E-03 -5.133E-03;4.351E-04 -8.705E-03;-2.111E-03 -8.565E-03;-2.342E-03 -7.156E-03;-1.469E-03 -7.098E-03;-1.610E-03 -6.967E-03;-2.298E-03 -4.369E-03;-2.264E-03 -4.791E-04;-2.155E-03 1.598E-03;-2.855E-03 1.198E-03;-3.149E-03 7.698E-05;-1.669E-03 -4.949E-04;4.859E-04 -2.484E-04;1.402E-03 1.104E-03;1.172E-03 3.120E-03;9.757E-04 3.938E-03;8.029E-04 2.331E-03;1.745E-04 -3.761E-04;-1.673E-04 -1.876E-03;6.490E-04 -1.390E-03;1.822E-03 4.537E-04;1.950E-03 2.809E-03;1.103E-03 4.427E-03;4.042E-04 3.824E-03;3.911E-04 1.160E-03;9.863E-04 -1.257E-03;2.151E-03 -1.643E-03;3.429E-03 -7.721E-04;3.723E-03 -3.065E-04;2.501E-03 -4.983E-04;4.885E-04 -7.672E-04;-1.417E-03 -1.224E-03;-2.939E-03 -2.137E-03;-3.784E-03 -2.747E-03;-3.556E-03 -1.874E-03;-2.791E-03 7.717E-04;-2.640E-03 4.491E-03;-2.970E-03 8.104E-03;-2.292E-03 1.022E-02;-1.756E-04 9.992E-03;1.801E-03 8.044E-03;2.274E-03 5.765E-03;1.799E-03 3.652E-03;1.537E-03 1.429E-03;1.579E-03 -3.997E-04;1.446E-03 -7.973E-04;1.124E-03 -9.668E-05;7.893E-04 1.201E-04;3.992E-04 -5.613E-04;1.038E-04 -7.895E-04;2.478E-04 2.172E-04;6.983E-04 1.355E-03;1.028E-03 1.294E-03
1.021E-03 2.755E-03;-1.263E-03 2.791E-03;-3.075E-03 2.949E-04;-3.834E-03 -1.999E-03;-2.765E-03 -1.446E-03;2.648E-04 8.677E-04;2.974E-03 1.874E-03;2.725E-03 1.376E-03;6.858E-04 1.720E-03;6.576E-04 2.680E-03;3.122E-03 9.640E-04;4.173E-03 -4.059E-03;1.595E-03 -8.362E-03;-1.766E-03 -8.948E-03;-2.592E-03 -7.789E-03;-1.604E-03 -7.666E-03;-1.143E-03 -7.500E-03;-1.285E-03 -4.893E-03;-1.037E-03 -7.725E-04;-9.740E-04 1.708E-03;-1.912E-03 1.458E-03;-2.683E-03 4.144E-05;-1.741E-03 -9.079E-04;2.280E-04 -8.210E-04;1.313E-03 3.080E-04;9.458E-04 1.814E-03;-8.887E-05 2.461E-03;-1.114E-03 1.828E-03;-1.682E-03 9.045E-04;-1.277E-03 7.523E-04;-4.566E-05 1.629E-03;1.063E-03 3.646E-03;1.604E-03 6.588E-03;2.020E-03 8.690E-03;2.363E-03 7.663E-03;2.093E-03 3.772E-03;1.576E-03 9.027E-05;2.083E-03 -1.178E-03;3.640E-03 -8.940E-04;4.507E-03 -7.639E-04;3.517E-03 -9.104E-04;1.423E-03 -8.179E-04;-6.263E-04 -9.258E-04;-2.360E-03 -1.776E-03;-3.560E-03 -2.647E-03;-3.640E-03 -2.255E-03;-2.815E-03 -2.104E-04;-2.250E-03 2.796E-03;-2.326E-03 5.556E-03;-2.078E-03 6.837E-03;-9.153E-04 6.233E-03;3.742E-04 4.669E-03;8.942E-04 3.272E-03;7.330E-04 2.014E-03;3.413E-04 4.983E-04;-9.793E-05 -5.335E-04;-3.653E-04 -1.313E-04;-2.707E-04 8.445E-04;-1.483E-04 6.143E-04;-3.329E-04 -6.561E-04;-2.910E-04 -8.746E-04;6.334E-04 8.227E-04;1.915E-03 2.744E-03;2.569E-03 2.889E-03
4.897E-04 1.961E-03;-1.435E-03 3.240E-03;-2.994E-03 9.486E-04;-4.083E-03 -1.844E-03;-3.712E-03 -1.504E-03;-9.425E-04 1.152E-03;2.270E-03 2.346E-03;2.720E-03 1.363E-03;8.955E-04 1.068E-03;6.249E-04 2.187E-03;2.999E-03 1.601E-03;4.473E-03 -2.206E-03;2.476E-03 -6.142E-03;-7.703E-04 -7.146E-03;-1.995E-03 -6.354E-03;-1.308E-03 -6.159E-03;-6.076E-04 -6.018E-03;-2.454E-04 -4.042E-03;3.181E-04 -7.640E-04;5.211E-04 1.384E-03;-2.924E-04 1.318E-03;-1.210E-03 7.141E-05;-9.558E-04 -8.999E-04;1.866E-04 -8.784E-04;9.344E-04 -7.267E-05;5.821E-04 5.542E-04;-7.541E-04 3.519E-04;-2.430E-03 7.912E-05;-3.309E-03 9.272E-04;-2.637E-03 2.683E-03;-1.168E-03 4.357E-03;-1.878E-04 6.201E-03;4.469E-04 8.942E-03;1.722E-03 1.119E-02;3.158E-03 1.022E-02;3.220E-03 5.924E-03;2.101E-03 1.514E-03;1.834E-03 -4.418E-04;3.137E-03 -6.080E-04;4.253E-03 -7.267E-04;3.616E-03 -1.015E-03;1.781E-03 -9.162E-04;-3.176E-07 -7.339E-04;-1.384E-03 -1.094E-03;-2.344E-03 -1.716E-03;-2.522E-03 -1.714E-03;-1.964E-03 -6.370E-04;-1.386E-03 1.131E-03;-1.147E-03 2.491E-03;-9.136E-04 2.320E-03;-5.374E-04 7.556E-04;-3.061E-04 -6.314E-04;-2.760E-04 -7.951E-04;-3.332E-04 -5.741E-04;-7.405E-04 -9.760E-04;-1.615E-03 -1.187E-03;-2.227E-03 -4.427E-05;-1.930E-03 1.420E-03;-1.292E-03 1.157E-03;-1.091E-03 -5.238E-04;-8.022E-04 -1.047E-03;4.692E-04 8.201E-04;2.212E-03 3.331E-03;3.233E-03 4.053E-03
-1.925E-04 2.069E-04;-1.573E-03 2.617E-03;-2.509E-03 1.270E-03;-3.420E-03 -1.336E-03;-3.668E-03 -1.319E-03;-1.852E-03 1.170E-03;9.988E-04 2.472E-03;1.986E-03 1.327E-03;8.384E-04 3.678E-04;4.842E-04 1.096E-03;2.193E-03 1.369E-03;3.501E-03 -5.554E-04;2.319E-03 -2.956E-03;6.727E-05 -3.608E-03;-9.422E-04 -3.041E-03;-6.529E-04 -2.804E-03;-1.377E-04 -2.675E-03;4.989E-04 -1.614E-03;1.414E-03 3.118E-05;1.909E-03 9.965E-04;1.479E-03 8.084E-04;7.704E-04 -6.329E-06;5.215E-04 -6.409E-04;5.960E-04 -5.226E-04;5.670E-04 3.896E-05;1.535E-04 -1.612E-04;-1.031E-03 -1.460E-03;-2.889E-03 -2.075E-03;-4.138E-03 -2.117E-04;-3.653E-03 3.199E-03;-2.236E-03 5.848E-03;-1.393E-03 7.475E-03;-8.452E-04 9.451E-03;7.035E-04 1.130E-02;2.733E-03 1.056E-02;3.277E-03 6.660E-03;2.158E-03 2.313E-03;1.442E-03 1.020E-04;2.229E-03 -2.409E-04;3.159E-03 -3.332E-04;2.746E-03 -7.005E-04;1.343E-03 -8.914E-04;9.094E-05 -7.295E-04;-5.911E-04 -4.615E-04;-8.091E-04 -2.956E-04;-6.499E-04 -2.564E-04;-3.228E-04 -1.569E-04;-3.637E-05 1.051E-04;3.468E-04 -1.307E-04;8.424E-04 -1.875E-03;8.848E-04 -4.678E-03;1.633E-04 -6.339E-03;-6.629E-04 -5.556E-03;-1.031E-03 -3.722E-03;-1.495E-03 -2.687E-03;-2.568E-03 -2.033E-03;-3.446E-03 -4.378E-04;-3.189E-03 1.374E-03;-2.313E-03 1.435E-03;-1.778E-03 -1.624E-04;-1.266E-03 -1.030E-03;3.128E-05 3.309E-04;1.717E-03 2.779E-03;2.847E-03 4.109E-03
-8.199E-04 -1.661E-03;-1.601E-03 1.177E-03;-1.818E-03 9.614E-04;-2.177E-03 -7.822E-04;-2.632E-03 -8.435E-04;-1.916E-03 1.092E-03;-1.744E-04 2.187E-03;7.496E-04 1.101E-03;3.675E-04 -2.405E-04;2.737E-04 -1.942E-04;1.156E-03 3.208E-04;1.646E-03 1.727E-04;9.153E-04 -4.015E-06;3.380E-05 5.686E-04;-7.946E-05 1.326E-03;9.009E-05 1.617E-03;1.810E-04 1.750E-03;7.691E-04 1.941E-03;1.949E-03 1.719E-03;2.811E-03 9.487E-04;2.876E-03 1.800E-04;2.587E-03 -2.505E-04;2.157E-03 -3.580E-04;1.360E-03 -6.070E-06;4.555E-04 4.631E-04;-1.631E-04 -2.090E-04;-9.963E-04 -2.306E-03;-2.568E-03 -3.584E-03;-3.941E-03 -1.699E-03;-3.832E-03 2.383E-03;-2.727E-03 5.628E-03;-2.020E-03 7.043E-03;-1.566E-03 8.045E-03;-1.988E-04 9.032E-03;1.680E-03 8.379E-03;2.337E-03 5.393E-03;1.509E-03 1.911E-03;8.236E-04 3.860E-05;1.187E-03 -1.447E-04;1.642E-03 8.806E-05;1.193E-03 -1.225E-04;2.085E-04 -6.629E-04;-4.192E-04 -8.464E-04;-3.180E-04 -1.344E-04;3.717E-04 1.081E-03;1.182E-03 1.683E-03;1.552E-03 1.171E-03;1.548E-03 2.490E-05;1.890E-03 -1.685E-03;2.649E-03 -4.665E-03;2.736E-03 -8.442E-03;1.517E-03 -1.061E-02;-8.703E-05 -9.540E-03;-1.069E-03 -6.628E-03;-1.799E-03 -4.248E-03;-2.869E-03 -2.698E-03;-3.672E-03 -9.253E-04;-3.450E-03 8.290E-04;-2.700E-03 1.236E-03;-2.183E-03 2.332E-04;-1.574E-03 -6.495E-04;-3.862E-04 -2.207E-04;8.660E-04 1.294E-03;1.669E-03 2.764E-03
-1.230E-03 -2.715E-03;-1.421E-03 -4.139E-04;-1.017E-03 7.662E-05;-7.450E-04 -4.893E-04;-9.809E-04 -1.924E-04;-1.032E-03 1.124E-03;-6.698E-04 1.652E-03;-4.773E-04 6.004E-04;-4.366E-04 -7.719E-04;-3.550E-05 -1.325E-03;2.682E-04 -1.120E-03;-3.682E-04 -1.803E-04;-1.289E-03 1.767E-03;-1.074E-03 4.069E-03;4.183E-05 5.505E-03;5.498E-04 5.951E-03;2.913E-04 6.072E-03;5.830E-04 5.624E-03;1.827E-03 3.864E-03;3.013E-03 1.393E-03;3.538E-03 -2.402E-04;3.665E-03 -5.555E-04;3.288E-03 -2.108E-04;2.069E-03 3.885E-04;6.078E-04 8.830E-04;-2.016E-04 1.826E-04;-7.037E-04 -2.043E-03;-1.751E-03 -3.732E-03;-2.900E-03 -2.496E-03;-3.032E-03 1.035E-03;-2.304E-03 3.981E-03;-1.719E-03 4.971E-03;-1.264E-03 5.032E-03;-2.567E-04 4.972E-03;8.810E-04 4.147E-03;1.033E-03 2.184E-03;3.238E-04 1.084E-04;-6.574E-05 -8.416E-04;1.512E-04 -5.217E-04;1.209E-04 2.336E-04;-5.505E-04 4.032E-04;-1.248E-03 -3.301E-04;-1.305E-03 -9.797E-04;-5.395E-04 -1.497E-04;8.675E-04 1.971E-03;2.273E-03 3.427E-03;2.884E-03 2.847E-03;2.831E-03 7.659E-04;3.140E-03 -2.005E-03;4.011E-03 -5.616E-03;4.215E-03 -9.654E-03;2.946E-03 -1.206E-02;1.043E-03 -1.123E-02;-4.465E-04 -8.205E-03;-1.606E-03 -5.153E-03;-2.654E-03 -2.904E-03;-3.032E-03 -1.106E-03;-2.546E-03 1.959E-04;-2.055E-03 6.396E-04;-1.995E-03 4.308E-04;-1.618E-03 1.700E-05;-6.097E-04 -4.155E-04;1.247E-04 -4.639E-04;2.723E-04 3.543E-04
-1.374E-03 -2.330E-03;-1.015E-03 -1.388E-03;-1.439E-04 -9.865E-04;5.857E-04 -5.844E-04;7.537E-04 4.037E-04;4.568E-04 1.357E-03;-2.893E-04 1.157E-03;-1.179E-03 -6.215E-05;-1.269E-03 -1.278E-03;-4.403E-04 -2.113E-03;-2.945E-04 -2.425E-03;-1.855E-03 -1.230E-03;-3.427E-03 2.046E-03;-2.810E-03 5.898E-03;-6.951E-04 8.254E-03;4.596E-04 8.980E-03;1.649E-04 9.062E-03;1.213E-04 8.227E-03;1.200E-03 5.602E-03;2.531E-03 2.070E-03;3.358E-03 -2.744E-04;3.718E-03 -7.232E-04;3.423E-03 -2.161E-04;2.208E-03 4.721E-04;7.646E-04 1.005E-03;4.847E-05 6.165E-04;-1.825E-04 -1.021E-03;-7.520E-04 -2.467E-03;-1.467E-03 -1.933E-03;-1.530E-03 1.897E-04;-9.943E-04 1.832E-03;-4.563E-04 1.930E-03;9.359E-05 1.109E-03;7.952E-04 7.756E-05;1.002E-03 -1.097E-03;1.992E-04 -2.226E-03;-8.282E-04 -2.774E-03;-1.054E-03 -2.435E-03;-8.161E-04 -1.337E-03;-1.131E-03 7.216E-07;-2.004E-03 6.077E-04;-2.536E-03 -1.160E-04;-2.171E-03 -1.101E-03;-9.578E-04 -3.762E-04;7.885E-04 2.217E-03;2.381E-03 4.382E-03;3.096E-03 4.130E-03;3.198E-03 1.795E-03;3.681E-03 -1.377E-03;4.581E-03 -4.930E-03;4.717E-03 -8.384E-03;3.541E-03 -1.033E-02;1.882E-03 -9.796E-03;4.148E-04 -7.502E-03;-1.017E-03 -4.827E-03;-2.108E-03 -2.470E-03;-1.956E-03 -7.884E-04;-8.613E-04 -1.091E-04;-4.066E-04 -6.858E-06;-9.958E-04 3.666E-04;-1.247E-03 7.062E-04;-5.825E-04 -1.221E-04;-2.414E-04 -1.749E-03;-7.479E-04 -2.239E-03
-1.323E-03 -4.306E-04;-4.911E-04 -1.244E-03;7.375E-04 -1.694E-03;1.665E-03 -9.403E-04;2.132E-03 7.338E-04;1.971E-03 1.703E-03;7.071E-04 9.382E-04;-1.121E-03 -6.171E-04;-1.763E-03 -1.717E-03;-8.383E-04 -2.528E-03;-5.460E-04 -3.208E-03;-2.460E-03 -2.322E-03;-4.654E-03 1.209E-03;-4.303E-03 5.777E-03;-1.858E-03 8.799E-03;-1.377E-04 9.802E-03;-1.511E-04 9.806E-03;-3.577E-04 8.770E-03;4.099E-04 5.998E-03;1.623E-03 2.385E-03;2.493E-03 -4.683E-05;2.817E-03 -6.194E-04;2.451E-03 -2.692E-04;1.447E-03 2.247E-04;5.538E-04 6.898E-04;3.850E-04 7.505E-04;4.845E-04 1.694E-04;2.056E-04 -3.559E-04;-1.192E-04 -7.509E-05;1.331E-04 5.024E-04;7.927E-04 2.720E-04;1.440E-03 -9.856E-04;2.129E-03 -2.717E-03;2.648E-03 -4.526E-03;2.121E-03 -6.059E-03;3.793E-04 -6.649E-03;-1.271E-03 -5.933E-03;-1.733E-03 -4.307E-03;-1.605E-03 -2.330E-03;-2.015E-03 -4.667E-04;-2.873E-03 4.406E-04;-3.238E-03 -2.030E-04;-2.623E-03 -1.277E-03;-1.201E-03 -6.527E-04;5.249E-04 1.964E-03;1.789E-03 4.328E-03;2.161E-03 4.398E-03;2.314E-03 2.385E-03;3.153E-03 -4.284E-04;4.170E-03 -3.256E-03;4.040E-03 -5.454E-03;2.773E-03 -6.215E-03;1.603E-03 -5.521E-03;8.044E-04 -4.246E-03;-3.468E-04 -2.857E-03;-1.394E-03 -1.264E-03;-8.762E-04 -2.140E-05;8.927E-04 6.456E-05;1.682E-03 -3.342E-04;6.891E-04 2.092E-04;-3.539E-04 1.178E-03;-2.834E-04 4.453E-04;-2.258E-04 -2.153E-03;-1.081E-03 -4.013E-03
-1.224E-03 2.489E-03;-3.792E-05 2.126E-05;1.481E-03 -1.668E-03;2.418E-03 -1.261E-03;2.930E-03 7.304E-04;2.989E-03 1.954E-03;1.773E-03 1.027E-03;-4.661E-04 -8.043E-04;-1.710E-03 -1.924E-03;-1.062E-03 -2.589E-03;-5.824E-04 -3.327E-03;-2.231E-03 -2.882E-03;-4.552E-03 3.905E-05;-4.713E-03 4.200E-03;-2.665E-03 7.146E-03;-8.342E-04 8.150E-03;-4.776E-04 7.997E-03;-6.021E-04 6.860E-03;-1.549E-04 4.474E-03;6.824E-04 1.715E-03;1.295E-03 4.891E-05;1.320E-03 -3.088E-04;6.717E-04 -2.504E-04;-1.565E-04 -2.170E-04;-2.587E-04 6.508E-06;4.895E-04 4.570E-04;1.100E-03 1.019E-03;9.795E-04 1.751E-03;8.374E-04 2.334E-03;1.427E-03 1.872E-03;2.449E-03 -3.967E-05;3.374E-03 -2.713E-03;4.184E-03 -5.362E-03;4.571E-03 -7.777E-03;3.675E-03 -9.564E-03;1.481E-03 -9.847E-03;-6.484E-04 -8.334E-03;-1.655E-03 -5.787E-03;-1.997E-03 -3.093E-03;-2.514E-03 -8.644E-04;-3.108E-03 9.737E-05;-3.167E-03 -5.792E-04;-2.421E-03 -1.578E-03;-1.015E-03 -8.949E-04;4.644E-04 1.500E-03;1.070E-03 3.473E-03;6.162E-04 3.470E-03;4.043E-04 1.973E-03;1.496E-03 1.200E-04;2.754E-03 -1.428E-03;2.357E-03 -2.010E-03;7.390E-04 -1.182E-03;-1.054E-04 2.222E-04;1.068E-04 8.257E-04;-7.417E-05 6.568E-04;-6.819E-04 7.579E-04;-1.001E-05 1.036E-03;2.088E-03 5.437E-04;3.353E-03 -2.274E-04;2.489E-03 2.107E-04;9.526E-04 1.385E-03;3.044E-04 9.197E-04;3.442E-05 -1.795E-03;-8.097E-04 -4.364E-03
